category,Average_Rating,Average_Price,Product_Count
Computers&Accessories|Tablets,4.6,26999.0,1
Computers&Accessories|NetworkingDevices|NetworkAdapters|PowerLANAdapters,4.5,1199.0,1
Electronics|Cameras&Photography|Accessories|Film,4.5,549.0,1
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,4.5,4699.0,1
OfficeProducts|OfficeElectronics|Calculators|Basic,4.5,440.0,1
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses",4.5,1099.0,1
Electronics|PowerAccessories|SurgeProtectors,4.5,1289.0,1
HomeImprovement|Electrical|CordManagement,4.5,249.0,1
Home&Kitchen|CraftMaterials|PaintingMaterials,4.5,230.0,1
Computers&Accessories|Components|Memory,4.5,1792.0,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories,4.5,688.0,1
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",4.471428571428571,577.7142857142857,7
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,4.46,6276.4,5
OfficeProducts|OfficeElectronics|Calculators|Scientific,4.45,908.5,2
Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,4.433333333333334,233.66666666666666,3
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,4.414285714285715,327.42857142857144,7
Computers&Accessories|ExternalDevices&DataStorage|ExternalSolidStateDrives,4.4,10389.0,1
Electronics|Accessories|MemoryCards|SecureDigitalCards,4.4,449.0,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,4.4,2599.0,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers,4.4,1999.0,1
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits,4.4,1549.0,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|ColdPressJuicers,4.4,12609.0,1
Electronics|HomeAudio|Accessories|Adapters,4.4,209.0,1
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",4.4,141.25,4
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,4.4,99.0,1
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,4.4,262.5,2
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,4.4,90.0,1
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,4.4,499.0,1
OfficeProducts|OfficeElectronics|Calculators|Financial&Business,4.4,535.0,1
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",4.4,399.0,1
Computers&Accessories|Components|InternalSolidStateDrives,4.3999999999999995,2277.0,3
Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks,4.3999999999999995,3516.8333333333335,6
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,4.383333333333334,943.6666666666666,6
Electronics|GeneralPurposeBatteries&BatteryChargers,4.375,489.25,4
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",4.375,368.625,8
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",4.371428571428572,227.14285714285714,7
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,4.366666666666666,1772.3333333333333,3
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods,4.35,562.5,2
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,4.333333333333333,1564.3333333333333,3
Computers&Accessories|Accessories&Peripherals|HardDiskBags,4.333333333333333,298.3333333333333,3
Electronics|Accessories|MemoryCards|MicroSD,4.330769230769231,839.7692307692307,13
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",4.300000000000001,464.0,2
Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,4.3,699.0,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,4.3,519.0,2
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,4.3,689.0,1
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,4.3,99.0,1
"Electronics|Headphones,Earbuds&Accessories|Cases",4.3,119.0,1
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits",4.3,549.0,1
"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners",4.3,42990.0,1
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,4.3,150.0,1
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper,4.3,99.0,1
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",4.3,1399.0,1
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",4.3,329.0,2
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|StandMixers,4.3,5999.0,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|StandMixerAccessories,4.3,635.0,1
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",4.3,95.0,2
"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",4.3,549.0,2
Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders,4.3,549.0,1
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,4.3,415.6666666666667,3
Computers&Accessories|NetworkingDevices|NetworkAdapters|BluetoothAdapters,4.3,599.0,1
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,4.3,122.33333333333333,3
Computers&Accessories|Accessories&Peripherals|LaptopAccessories,4.3,1399.0,1
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|VacuumAccessories|VacuumBags|HandheldBags",4.3,253.0,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,4.290909090909091,812.7272727272727,11
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",4.2875000000000005,609.3333333333334,24
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",4.275,11917.0,4
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,4.266666666666667,899.0,3
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",4.266666666666667,1155.0,3
Computers&Accessories|ExternalDevices&DataStorage|PenDrives,4.26,668.6,10
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,4.26,999.0,5
Computers&Accessories|NetworkingDevices|Routers,4.2555555555555555,1626.3333333333333,9
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",4.254166666666667,406.2916666666667,24
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,4.25,139.0,2
